,Player Name,Fedex Ranking,Events Played,Fedex Points,Number of Wins,Number of Top 10s
0,Scottie Scheffler,1,16,2842,4,7
1,Cameron Smith,2,11,1603,2,5
2,Sam Burns,3,15,1601,2,6
3,Justin Thomas,4,13,1568,1,8
4,Hideki Matsuyama,5,14,1544,2,5
5,Patrick Cantlay,6,11,1410,1,6
6,Max Homa,7,15,1401,2,3
7,Tom Hoge,8,22,1309,1,4
8,Jon Rahm,9,12,1279,1,5
9,Jordan Spieth,10,13,1277,1,3
10,Talor Gooch,11,19,1253,1,4
11,Cameron Young,12,17,1230,0,5
12,Will Zalatoris,13,15,1202,0,6
13,Rory McIlroy,14,8,1190,1,5
14,Viktor Hovland,15,13,1128,1,4
15,Sungjae Im,16,16,1117,1,5
16,Xander Schauffele,17,13,995,1,3
17,Joaquin Niemann,18,16,994,1,3
18,Collin Morikawa,19,11,961,0,6
19,J.J. Spaun,20,21,897,1,2
20,Sepp Straka,21,23,897,1,3
21,Seamus Power,22,20,892,0,5
22,Luke List,23,20,861,1,3
23,Shane Lowry,24,11,802,0,3
24,Matt Fitzpatrick,25,12,795,0,6
25,Cameron Tringale,26,19,794,0,4
26,Davis Riley,27,20,788,0,5
27,Billy Horschel,28,13,784,0,4
28,Jason Kokrak,29,14,784,1,1
29,K.H. Lee,30,18,781,1,1
30,Kevin Kisner,31,16,769,0,4
31,Russell Henley,32,16,762,0,2
32,Keegan Bradley,33,17,761,0,5
33,Maverick McNealy,34,18,757,0,2
34,Mito Pereira,35,19,749,0,2
35,Lucas Herbert,36,13,722,1,2
36,Corey Conners,37,16,703,0,2
37,Sebastián Muñoz,38,17,692,0,3
38,Matt Kuchar,39,15,676,0,3
39,Mackenzie Hughes,40,17,670,0,3
40,Hudson Swafford,41,20,640,1,1
41,Keith Mitchell,42,18,638,0,4
42,Marc Leishman,43,16,601,0,3
43,Matt Jones,44,18,592,0,2
44,Lanto Griffin,45,19,583,0,4
45,Si Woo Kim,46,20,580,0,1
46,Tyrrell Hatton,47,12,564,0,2
47,Brendan Steele,48,17,563,0,3
48,Anirban Lahiri,49,18,561,0,2
49,Matthew Wolff,50,14,557,0,2
50,Harold Varner III,51,15,557,0,3
51,Troy Merritt,52,17,539,0,2
52,Chad Ramey,53,20,538,1,2
53,Adam Hadwin,54,18,532,0,4
54,Aaron Wise,55,16,529,0,3
55,Denny McCarthy,56,20,529,0,2
56,Chris Kirk,57,17,499,0,3
57,Beau Hossler,58,16,494,0,2
58,Alex Noren,59,16,492,0,2
59,Tommy Fleetwood,60,12,481,0,3
60,Kurt Kitayama,61,16,481,0,2
61,Matthew NeSmith,62,20,475,0,2
62,Gary Woodland,63,16,470,0,4
63,Sahith Theegala,64,21,461,0,3
64,Brian Harman,65,17,451,0,3
65,Patrick Reed,66,17,443,0,1
66,Alex Smalley,67,20,429,0,2
67,Scott Stallings,68,21,420,0,2
68,Adam Scott,69,12,417,0,3
69,Abraham Ancer,70,15,414,0,3
