player_name,events_played,wins,x_wins,x_wins_majors,rounds_played,shotlink_played,putt_raw,arg_raw,app_raw,ott_raw,t2g_raw,total_raw
"Thomas, Justin",14,1,0.345,0.09,55,43,0.322514608,0.395559227,0.915847987,0.373701464,1.685108678,1.871880765
"Smith, Cameron",12,2,1.757,0.069,42,35,0.715734719,0.268823437,1.217805503,-0.120312356,1.366316584,2.012047529
"McIlroy, Rory",11,1,0.247,0.269,42,38,0.329505098,0.618239606,0.408666773,0.932340671,1.95924705,1.973157069
"Scheffler, Scottie",17,4,0.866,0.793,65,44,0.458727921,0.396875543,0.695335327,0.179576098,1.271786968,1.057539922
"Rahm, Jon",12,1,1.023,0,46,39,0.043139202,-0.193456603,0.493248495,1.2803793,1.580171193,1.349366216
"Lowry, Shane",14,0,0.261,0.067,49,38,0.466577802,0.255566248,0.672218094,0.465891224,1.393675565,1.36987656
"Cantlay, Patrick",11,1,0.391,0,37,28,0.016201625,0.213872993,0.264256328,0.553943246,1.032072568,1.02606404
"Hovland, Viktor",16,3,1.405,0,59,46,0.394817676,-0.639292663,1.002699838,0.649657218,1.013064393,1.542434171
"Burns, Sam",16,2,0.43,0.001,52,45,0.442579631,0.092828373,0.631289676,0.210648798,0.934766847,1.269892904
"Fitzpatrick, Matthew",13,0,0.196,0.019,47,30,0.569466445,0.432076866,0.407467851,0.641017426,1.480562143,1.547403741
"Im, Sungjae",16,1,0.826,0.003,57,49,0.27217865,0.474696028,0.174961973,0.579682666,1.229340667,1.265878725
"Schauffele, Xander",15,1,0.185,0.002,53,35,0.238599985,0.226204066,0.504828707,0.458444717,1.18947749,0.94262315
"Matsuyama, Hideki",14,2,1.208,0,53,48,-0.184928977,0.257661712,0.743801538,0.278979726,1.280442977,1.338769842
"Morikawa, Collin",14,0,0.858,0.031,52,38,0.040897015,-0.131896795,0.677683068,0.663758756,1.209545029,1.051354586
"Zalatoris, Will",15,0,0.096,0.101,53,37,-0.049418461,0.216194683,0.960072523,0.595139558,1.771406763,1.167087341
"Young, Cameron",17,0,0.964,0.041,57,50,0.166116525,0.161708949,0.118611924,0.909896394,1.190217267,1.433910687
"Henley, Russell",16,0,0.357,0,61,51,0.002059256,0.305211206,0.912047504,0.012494579,1.22975329,1.150010405
"Gooch, Talor",19,1,1,0.001,66,53,0.176071152,0.453269427,0.561129941,-0.087198139,0.927201229,1.197849263
"Homa, Max",15,2,0.773,0.002,53,46,0.336816756,-0.156532845,0.596432044,0.443785767,0.883684966,1.057601714
"Hatton, Tyrrell",16,0,0.224,0.002,60,42,0.747611536,0.111435712,0.396943768,0.070299519,0.578679,0.900672028
"Horschel, Billy",13,0,0.294,0,48,37,0.554208012,0.277697287,-0.007413563,0.239512331,0.509796056,0.937484167
"Fleetwood, Tommy",15,0,0.016,0.019,54,42,0.316144325,0.316038301,0.415255913,0.291247424,1.022541638,1.410135509
"Conners, Corey",16,0,0.014,0.014,59,49,0.109141353,0.106920401,0.309949915,0.706697995,1.12356831,0.814367105
"Power, Seamus",20,0,0.049,0.004,66,47,0.423983239,0.087820702,0.05447065,0.268221919,0.410513271,1.039401359
"Varner III, Harold",16,1,0.118,0,52,39,0.101383129,0.367714728,0.387922777,-0.088191698,0.667445807,0.778391515
"Niemann, Joaquin",17,1,0.975,0,58,40,0.101557604,0.397885902,0.309415376,0.494921888,1.202223167,1.334379431
"Hoge, Tom",22,1,0.844,0.004,74,56,-0.049770253,0.238731803,0.769594717,0.078388068,1.086714587,1.09110225
"Watson, Bubba",10,0,0.029,0,31,22,-0.255512115,-0.050136073,0.127628058,0.414756176,0.492248161,0.298313036
"Wise, Aaron",16,0,0.02,0,56,51,-0.090729944,0.14696336,0.509256082,0.36587672,1.022096162,0.978773817
"Horsfield, Sam",7,1,0.012,0,22,18,0.751103105,0.265672404,0.909910552,0.041889159,1.217472115,1.772872309
"McNealy, Maverick",18,0,0.2,0,66,51,0.419440644,-0.078984951,0.198934172,0.296840054,0.416789275,0.718141381
"Kuchar, Matt",15,0,0.034,0,55,48,0.618281167,0.655958345,-0.016526095,-0.208881997,0.430550253,1.011843754
"Garcia, Sergio",13,0,0.005,0,44,32,0.116162501,0.035545897,0.216343941,0.603896856,0.855786694,1.029539021
"Bradley, Keegan",17,0,0.223,0,59,44,0.024771061,0.232016769,0.468847361,0.519845566,1.220709695,0.782841046
"Leishman, Marc",17,0,0.062,0,61,51,0.414243063,0.149578585,0.3988663,0.032837789,0.581282673,0.987659526
"Scott, Adam",14,0,0.208,0,52,47,0.413662792,-0.134706044,0.32726646,0.236777721,0.429338136,0.78008682
"Pereira, Mito",19,0,0.033,0.041,66,55,0.1018232,0.009530468,0.728561245,0.431121128,1.169212841,1.006823943
"Johnson, Dustin",11,0,0.017,0.001,41,29,-0.273540131,0.053880996,0.591247782,0.305123493,0.950252271,0.737469965
"Merritt, Troy",17,0,0.036,0,60,46,0.549011203,0.038613386,0.042718255,0.130596661,0.211928302,0.901749965
"Noren, Alex",16,0,0.078,0,54,39,0.506073502,0.067788756,0.297418163,0.025132925,0.390339844,0.785210966
"Berger, Daniel",10,0,0.071,0,35,27,-0.123170816,0.252812234,0.406949325,0.18870495,0.848466509,0.961891103
"Casey, Paul",8,0,0.368,0,30,22,0.064089078,0.154399855,0.937701455,-0.090444125,1.001657185,1.198249871
"Fox, Ryan",9,1,0.032,0,34,34,0.333872987,-0.034011868,1.249623802,0.233295293,1.448907227,1.678842033
"Kirk, Chris",17,0,0.109,0.019,56,41,-0.11584456,0.514803034,0.452307767,0.448968859,1.41607966,0.797794429
"Woodland, Gary",16,0,0.108,0,49,44,0.122010286,0.052721865,0.430328227,0.256220617,0.739270708,0.813111227
"Oosthuizen, Louis",10,0,0.006,0,32,30,-0.053565689,0.328424089,-0.180273836,0.460984002,0.609134256,0.4593537
"Mitchell, Keith",18,0,0.039,0,60,48,0.189758859,0.089191998,-0.045109186,0.727681533,0.771764345,0.88323556
"McCarthy, Denny",20,0,0.078,0,71,57,0.687089369,0.225873512,-0.155150243,-0.073924324,-0.003201055,0.902713533
"Finau, Tony",17,0,0.031,0,59,41,-0.361253074,0.051304917,0.423129979,0.485930336,0.960365232,0.437647299
"Kokrak, Jason",15,1,0.254,0,55,48,0.37532825,-0.033832567,0.004643805,0.143055516,0.113866754,0.353992351
"Smith, Jordan",9,0,0.022,0,34,34,0.092276683,0.060643912,0.538786455,1.021579405,1.621009772,1.789365148
"Ancer, Abraham",17,0,0.004,0.004,61,42,0.347710769,-0.638094803,-0.034022493,0.369535043,-0.302582253,0.139776571
"Tringale, Cameron",19,0,0.083,0,65,49,0.210046622,0.143018316,0.439148943,-0.18537384,0.396793419,0.40173531
"Vegas, Jhonattan",17,0,0.007,0,61,43,-0.05810909,-0.149038636,0.402023186,0.413536768,0.666521318,0.788830555
"Larrazabal, Pablo",10,2,0.019,0,36,28,0.871574809,0.292689295,0.289405895,-0.279637394,0.302457796,1.696047591
"Kim, Si Woo",20,0,0.017,0,72,62,-0.20810227,0.107530912,0.062528127,0.296068263,0.466127302,0.243139293
"Spieth, Jordan",14,1,0.281,0,49,39,-0.399429669,0.294484063,0.532274333,0.467502682,1.294261079,0.538871605
"Rose, Justin",13,0,0.031,0.002,43,24,0.479668306,-0.201729689,-0.059766511,0.037359146,-0.224137054,0.60320618
"Arnaus, Adri",11,1,0.016,0,39,35,0.381194952,0.007991669,0.567636783,0.504613776,1.080242228,1.610753335
"Hadwin, Adam",18,0,0.044,0,61,46,0.173791913,0.354052641,0.438436103,-0.112546165,0.67994258,0.626457364
"Griffin, Lanto",19,0,0.181,0,68,58,0.207031569,-0.27500651,0.381090536,0.159852227,0.265936253,0.606570928
"Spaun, J.J.",21,1,0.045,0,72,58,0.083123904,-0.003373402,0.217044926,0.208566149,0.422237673,0.612919434
"Hubbard, Mark",17,0,0,0,58,27,0.07884237,0.299117177,0.334869778,-0.214251133,0.419735822,0.946133159
"Pieters, Thomas",10,1,0.014,0,33,26,-0.068200643,0.179906821,0.05263712,0.307879022,0.540422964,0.253408572
"Long, Adam",20,0,0.005,0,64,51,0.579629655,0.083456588,-0.178171463,0.05493626,-0.039778616,0.529087962
"Lee, Kyounghoon",18,1,0.294,0,64,58,0.11093042,0.036577644,-0.056966947,0.318669883,0.29828058,0.434122695
"Munoz, Sebastian",17,0,0.318,0,58,47,-0.265700837,0.097558114,0.274214087,0.282646536,0.654418737,0.369888505
"Harman, Brian",17,0,0.189,0,58,48,0.290289627,0.105296834,-0.004603582,0.15045719,0.251150442,0.648910801
"List, Luke",19,1,0.08,0,61,48,-0.778928192,0.169302475,0.441640132,0.765883006,1.376825614,0.845625035
"Day, Jason",13,0,0.033,0,42,34,0.261449897,0.245541966,-0.200569457,-0.14772454,-0.102752031,0.434025354
"Kisner, Kevin",16,0,0.214,0,52,40,0.446660307,0.212745365,-0.036385784,-0.252327439,-0.075967859,-0.071875089
"Alker, Steven",8,2,0,0,25,0,-9999,-9999,-9999,-9999,-9999,3.496804837
"Riley, Davis",20,0,0.312,0.002,64,50,0.250963587,-0.039128254,-0.041496222,0.343537955,0.262913478,0.656451441
"Hughes, Mackenzie",17,0,0.506,0,53,42,0.529642823,0.17941062,-0.224452924,-0.243195937,-0.288238242,0.478713668
"Na, Kevin",12,0,0,0,42,34,-0.073232612,0.14044239,0.691247518,-0.547621168,0.28406874,0.198670891
"Pan, C.T.",16,0,0.025,0,57,46,-0.030005793,0.288548054,0.320211027,0.088032628,0.696791709,0.513406829
"Koepka, Brooks",15,0,0.152,0,49,37,0.115250644,-0.063932178,-0.065062604,0.147532935,0.018538153,-0.028251124
"Bekker, Oliver",13,0,0.01,0,44,44,0.419352284,0.266687578,0.338882341,0.596385794,1.201955713,1.63600503
"Howell III, Charles",13,0,0.005,0,42,35,-0.350810239,0.452759804,-0.034844091,0.319998596,0.737914309,0.537272177
"Dahmen, Joel",18,0,0.026,0,61,50,-0.021997887,-0.316650933,0.341937467,0.191306661,0.216593195,0.297826029
"Simpson, Webb",13,0,0.014,0.001,45,37,-0.00642888,0.32482212,0.121542705,0.057457741,0.503822565,0.490589219
"Hoshino, Rikuya",9,0,0.002,0,34,6,0.122458215,-0.110470678,-0.264407928,-0.320002658,-0.694881264,2.010680837
"Knox, Russell",21,0,0.043,0,69,56,-0.559079634,-0.017456134,0.530682081,0.301470874,0.814696821,0.399000686
"Meronk, Adrian",10,0,0.007,0,37,29,0.484987875,-0.179033357,0.184340879,0.974780346,0.980087868,1.489347684
"Du Plessis, Hennie",13,0,0.004,0,47,28,-0.00586253,0.441869233,0.465535436,0.652592668,1.559997337,2.095107936
"Steele, Brendan",17,0,0.048,0.004,55,42,-0.437015566,-0.134055015,0.108696263,0.698369724,0.673010973,0.329597942
"Pendrith, Taylor",15,0,0.013,0,51,39,-0.08029925,-0.011386698,-0.146842574,0.46723401,0.309004738,0.460641596
"Herbert, Lucas",15,1,0.063,0.002,44,30,1.007162947,0.358015382,-0.724775334,-0.519283964,-0.886043916,0.448779276
"Sherwood, Cole",8,2,0,0,24,0,-9999,-9999,-9999,-9999,-9999,3.87861587
"Wiesberger, Bernd",9,0,0,0,34,30,-0.989225637,0.36886281,1.312966338,0.422081503,2.103910651,1.113963777
"Stallings, Scott",21,0,0.007,0,63,50,0.370946865,0.049456369,-0.023831096,-0.094893886,-0.069268613,0.41946595
"Jones, Matt",18,0,0.818,0,55,45,-0.378615441,0.559371695,-0.081261904,0.249968899,0.72807869,0.272427956
"Harding, Justin",12,0,0.005,0,44,36,0.15829754,0.42250402,0.498651438,0.135224017,1.056379474,1.38055324
"Rai, Aaron",20,0,0.03,0,63,45,-0.154028206,-0.029418555,0.346609121,0.188815219,0.506005785,0.314478877
"Rodgers, Patrick",18,0,0.007,0,57,41,0.363283853,0.004443041,0.050826069,0.077971463,0.133240573,0.534065414
"Van Rooyen, Erik",15,0,0.021,0,51,44,-0.017598552,-0.257467682,0.346589353,0.245917316,0.335038987,0.313377953
"NeSmith, Matthew",20,0,0.151,0,66,52,-0.250478532,0.024785332,0.491569757,0.185576025,0.701931114,0.370627949
"Otaegui, Adrian",10,0,0.008,0,36,28,0.615077315,0.364038342,0.299572823,-0.198572082,0.465039083,1.353312514
"Lashley, Nate",19,0,0.002,0,60,45,0.261745546,0.037387254,0.172368401,0.011564743,0.221320398,0.541543228
"Sabbatini, Rory",12,0,0.044,0,36,30,0.337961884,0.562536769,-0.255105959,-0.113808167,0.193622642,0.264673335
"Montgomery, Taylor",12,0,0.012,0,41,3,1.78756064,-0.041065022,-1.046240398,0.691230228,-0.396075192,1.544758691
"Todd, Brendon",18,0,0.002,0,59,44,0.666572431,0.195036906,-0.052846258,-0.436181484,-0.293990836,0.384518356
"Bezuidenhout, Christiaan",16,0,0.004,0,55,37,0.242752715,0.106804329,0.139627115,0.119491667,0.365923111,0.80318267
"Reed, Patrick",19,0,0.021,0,65,43,0.432795431,0.08772536,-0.439310866,-0.570987449,-0.922572955,-0.119074302
"Perez, Pat",17,0,0.019,0,54,43,0.007021912,0.436644364,0.193118528,-0.457909572,0.171853321,0.200406675
"Smalley, Alex",20,0,0.011,0,62,47,-0.194301301,-0.186043842,0.059258613,0.317109972,0.190324743,0.425495438
"Barnes, Erik",14,0,0.001,0,54,0,-9999,-9999,-9999,-9999,-9999,1.605954713
"Fowler, Rickie",14,0,0.013,0,45,34,-0.259730272,0.291142825,0.244909854,-0.07830005,0.457752628,0.08969657
"Hahn, James",17,0,0.009,0,47,34,-0.476207354,0.170111114,0.063079701,0.305768824,0.538959639,0.118002928
"Laird, Martin",14,0,0.008,0,43,37,-0.47081273,0.130650154,0.33014828,0.223847376,0.68464581,0.563336389
"Olesen, Thorbjorn",8,1,0.004,0,28,24,0.525589698,0.13921947,0.525465853,-0.035567886,0.629117437,1.153726008
"Kizzire, Patton",19,0,0.018,0,63,54,0.064706739,-0.098512899,0.244313982,-0.144362097,0.001438986,0.153828925
"Ghim, Doug",18,0,0.04,0,58,44,-0.451547685,0.124590879,0.409139333,0.018039033,0.551769245,0.029800042
"Lahiri, Anirban",18,0,0.591,0,56,46,-0.027285619,0.241191616,-0.353481483,0.401572413,0.289282546,0.197675869
"Straka, Sepp",23,1,0.46,0,74,54,0.204653859,0.002612978,-0.17903883,0.058362526,-0.118063326,-0.06951157
"Daffue, MJ",13,0,0.006,0,50,4,-0.478037778,-0.356139622,-0.386140591,0.06826487,-0.674015344,1.463054104
"Davis, Cameron",16,0,0.022,0,50,48,0.0086894,-0.059810245,0.074412394,-0.007702075,0.006900073,-0.049136557
"Macintyre, Robert",11,0,0.001,0,36,32,0.059388091,0.219485794,0.294423942,0.010207651,0.524117387,0.688547348
"Glover, Lucas",18,0,0.007,0,62,56,-0.573855471,-0.101540344,0.362811151,0.28895987,0.550230677,-0.022939023
"Kim, Seonghyeon",14,0,0.004,0,50,4,0.117787637,-0.258126074,0.49031578,0.082881464,0.31507117,1.374703248
"Streelman, Kevin",19,0,0.008,0,64,56,0.047425817,0.146523268,-0.173001519,0.290668039,0.264189787,0.08495744
"Poulter, Ian",16,0,0.002,0,49,38,0.333395579,0.207958133,-0.047993097,-0.197010508,-0.037045472,0.32031919
"Langasque, Romain",11,0,0,0,34,34,0.17246283,0.077342042,0.665936299,0.263406938,1.006685278,1.232678707
"Palmer, Ryan",15,0,0.034,0,47,34,-0.352327012,0.007181685,0.172244408,0.500948969,0.680375062,0.082422963
"Hojgaard, Rasmus",11,0,0.001,0,42,34,-0.107932089,0.38797039,0.315384693,0.122344811,0.825699893,0.744272336
"Putnam, Andrew",20,0,0.011,0,60,47,0.044767414,0.185977457,0.115098366,-0.305852298,-0.004776475,0.124457645
"Surratt, Caleb",5,2,0,0,15,0,-9999,-9999,-9999,-9999,-9999,3.840727234
"Lawrence, Thriston",13,1,0,0,46,30,0.245674937,-0.257234246,0.276036646,0.482534737,0.501337137,1.355535204
"Lipsky, David",20,0,0.006,0,60,44,-0.05804806,-0.004987427,0.344682448,-0.089366247,0.250328773,0.292341266
"Molinari, Francesco",13,0,0.022,0,41,36,-0.041706445,0.207418517,-0.089489988,-0.22991708,-0.11198855,-0.072633006
"Malnati, Peter",22,0,0.006,0,75,59,0.259100327,0.132885641,0.103662435,-0.294436844,-0.057888768,0.117475211
"Armitage, Marcus",10,0,0.001,0,36,36,-0.422775316,-0.010991582,1.191058799,0.325597293,1.505664509,1.161781176
"Schwab, Matthias",16,0,0.003,0,52,35,0.413848448,0.306244368,0.144024471,-0.345939398,0.10432944,0.711629504
"Griffin, Ben",13,0,0.001,0,42,2,2.112147183,-1.046533882,-0.565220549,-0.4174722,-2.029226632,1.427097293
"Li, Haotong",9,0,0.001,0,30,20,0.381140608,-0.055144333,0.635990552,0.046943908,0.627790128,0.895854129
"Hossler, Beau",16,0,0.042,0,47,41,0.843787375,0.063774304,-0.694918127,-0.189662007,-0.82080583,0.037395129
"Wu, Ashun",12,1,0.012,0,44,38,0.90687524,0.12342611,0.64584601,-0.443703158,0.325568962,1.15343658
"Poston, J.T.",19,0,0.025,0,51,44,-0.010100111,0.103494525,-0.291582021,0.385412875,0.19732538,0.099805662
"Moore, Taylor",18,0,0.015,0,54,46,-0.290602752,0.16118718,-0.302748224,0.201831388,0.060270344,-0.149081757
"Strydom, Tristen",12,1,0.526,0,39,0,-9999,-9999,-9999,-9999,-9999,2.531267667
"Theegala, Sahith",21,0,0.163,0,72,57,-0.181247487,0.127747004,0.090319114,0.034135507,0.252201626,0.142995153
"Duncan, Tyler",18,0,0.003,0,55,36,-0.401078561,0.064790804,0.239178738,0.237680996,0.541650538,0.19165191
"Taylor, Nick",19,0,0.003,0,62,47,-0.161621066,0.020562449,0.116268929,0.026317717,0.163149095,0.154402166
"Katsuragawa, Yuto",8,1,0,0,32,0,-9999,-9999,-9999,-9999,-9999,2.50703479
"Frittelli, Dylan",20,0,0.001,0,65,53,-0.013447718,0.027117635,0.159898203,-0.107431246,0.079584591,0.079659521
"Champ, Cameron",12,0,0.005,0.001,38,33,-0.094381187,-0.40615533,-0.041683284,0.717870266,0.270031652,-0.060181006
"Burmester, Dean",11,0,0.009,0,37,31,-0.386675121,0.440362978,0.195405131,0.526044859,1.161812968,1.169095007
"Coetzee, George",12,0,0.001,0,42,34,0.03947951,0.358009361,0.098192407,0.489240896,0.945442664,1.389414387
"Sigg, Greyson",20,0,0,0,65,46,-0.012843104,-0.096512144,-0.030395896,-0.078348537,-0.205256577,0.138962988
"Whaley, Vincent",20,0,0.002,0,62,43,0.222453345,-0.034745708,-0.553418724,-0.054674641,-0.642839073,0.041963388
"Swafford, Hudson",20,1,0.428,0,62,50,0.02822746,-0.588454631,0.39528759,0.013532643,-0.179634399,-0.068753759
"Zecheng, Marty Dou",13,0,0.016,0,50,0,-9999,-9999,-9999,-9999,-9999,1.349106923
"James, Benjamin",5,1,0,0,15,0,-9999,-9999,-9999,-9999,-9999,3.7073939
"Willett, Danny",17,0,0.001,0.001,52,40,-0.039959234,0.340351071,-0.138107286,0.036398922,0.238642707,0.142499743
"Aberg, Ludvig",11,2,0,0,32,3,-0.448420178,-1.387135777,-0.62033209,0.394284004,-1.613183863,2.719870415
"Ritchie, JC",14,2,0.031,0,52,16,-0.925923261,0.140372061,0.890860449,0.414047481,1.445279991,1.841551859
"Jamieson, Scott",9,0,0,0,32,28,0.598982142,0.147096393,-0.091726003,0.142643611,0.198014001,0.966935113
"Brun, Julien",11,0,0,0,38,38,0.803838579,0.27880216,0.629726857,-0.616624951,0.291904066,1.102743721
"Clark, Wyndham",19,0,0.001,0,60,44,0.281526498,-0.233610392,-0.349221475,-0.013764475,-0.596596342,-0.083993596
"Thompson, Michael",18,0,0.02,0,60,50,0.176734248,0.051784951,-0.257759145,-0.263057155,-0.469031349,-0.022695331
"Ryder, Sam",20,0,0.003,0,60,48,0.167717805,0.032832415,-0.099561578,-0.241906333,-0.308635496,-0.102618616
"Cink, Stewart",15,0,0.009,0,47,44,0.001490885,-0.365127952,0.193810468,-0.110387211,-0.281704695,-0.241051368
"Canter, Laurie",11,0,0.002,0,40,36,0.192684117,-0.327340323,0.339191623,0.652292552,0.664143852,0.826878584
"Ortiz, Carlos",16,0,0.062,0,49,40,-0.05074716,-0.396159333,0.099396499,-0.086046758,-0.382809591,-0.215826228
"Lee, Danny",15,0,0.011,0,39,26,-0.435392562,-0.480832542,-0.237766594,0.100874601,-0.617724535,-0.178664371
"Sargent, Gordon",8,1,0,0,24,0,-9999,-9999,-9999,-9999,-9999,3.37861587
"Byrd, Jonathan",13,0,0.003,0,38,23,0.381767054,0.509306755,-0.513242608,-0.597003767,-0.60093962,0.110350499
"Suh, Justin",13,0,0,0,48,4,-0.187891154,-0.344628654,-0.095202894,0.312567024,-0.127264524,1.137178533
"Yuan, Yechun",12,1,0.008,0,36,1,-3.142909091,1.219571429,-3.653012987,1.53738961,-0.896051948,1.211951354
"Lewton, Steve",6,0,0.002,0,24,0,-9999,-9999,-9999,-9999,-9999,2.286229394
"Stenson, Henrik",15,0,0,0,43,31,-0.218186988,-0.324439688,0.465308283,0.028379496,0.169248091,-0.285196256
"Seiffert, Chase",11,0,0,0,35,19,-0.324737876,0.078106914,0.273069919,-0.265511548,0.085665285,-0.062637107
"Korhonen, Mikko",9,0,0,0,30,26,-0.039352489,0.287565326,0.294452095,0.22168435,0.80370177,0.931373297
"Hickok, Kramer",21,0,0.024,0,61,44,0.023556591,-0.346483426,-0.029042267,0.155445146,-0.220080547,-0.008765547
"Fisher, Ross",11,0,0,0,36,36,-0.499071273,0.025955249,0.426841031,0.997502698,1.450298978,0.952295178
"Higgs, Harry",21,0,0.002,0,59,50,0.289086468,-0.001686147,-0.443805126,-0.085844488,-0.531335761,-0.237445899
"Harrington, Padraig",12,0,0.002,0,38,22,-0.228297742,0.184496136,0.48305415,0.223544424,0.89109471,1.291826909
"Donald, Luke",15,0,0.001,0,45,32,-0.076424849,0.281102627,0.68540762,-0.828192103,0.138318144,0.098947623
"Imahira, Shugo",7,2,0,0,26,0,-9999,-9999,-9999,-9999,-9999,1.964207682
"Davenport, Reid",8,0,0,0,24,0,-9999,-9999,-9999,-9999,-9999,3.336949203
"Norris, Shaun",13,1,0.044,0,42,24,1.131449444,-0.108056012,0.544276101,-0.305842376,0.130377713,1.29387977
"Mullinax, Trey",19,0,0.018,0,53,40,-0.274490836,-0.030177825,-0.198482315,0.494589738,0.265929599,-0.12156704
"Long, Hurly",11,0,0,0,37,33,0.619993082,0.222395475,-0.516728005,0.442745667,0.148413137,1.045793023
"Smotherman, Austin",16,0,0.013,0,52,37,-0.202282206,-0.447151667,0.559025585,0.437569204,0.549443123,0.033177404
"Jaeger, Stephan",21,0,0.01,0,61,49,0.184600463,0.48908005,0.004548832,-0.80948181,-0.315852928,-0.035574002
"Schenk, Adam",23,0,0.048,0,67,52,0.18891929,-0.419736174,-0.037130391,-0.153960214,-0.610826779,-0.276580079
"Wu, Brandon",18,0,0.029,0,50,28,0.406953633,-0.39121939,0.020147057,-0.045723093,-0.416795426,0.252056445
"Detry, Thomas",11,0,0,0,40,28,0.006357048,-0.086939563,0.11264566,0.328964984,0.35467108,0.710387615
"Bland, Richard",10,0,0.141,0,32,28,0.049496865,0.182906965,0.565908042,-0.260077202,0.488737805,0.616765341
